City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
308,Krasnoselkup,RU,65.7,82.4667,39.33,65,97,11.61,overcast clouds
309,Lima,PE,-12.0432,-77.0282,64.13,80,90,3.44,overcast clouds
310,Hammerfest,NO,70.6634,23.6821,46.85,66,0,6.91,clear sky
311,Shingu,JP,33.7333,135.9833,68.58,84,100,3.11,overcast clouds
312,Mujiayingzi,CN,42.1167,118.7833,65.82,43,99,6.33,overcast clouds
313,Maibong,IN,25.3,93.1667,73.42,99,97,3.4,overcast clouds
314,Wangqing,CN,43.3218,129.7634,53.85,88,73,0.13,broken clouds
315,Rio Tercero,AR,-32.173,-64.1141,55.49,37,49,13.31,scattered clouds
316,Lufilufi,WS,-13.8745,-171.5986,76.78,77,18,6.35,light rain
317,Ban Tak,TH,17.0432,99.0813,76.8,84,99,5.46,light rain
318,Talnakh,RU,69.4865,88.3972,31.41,98,100,4.45,light snow
319,Severo-Kurilsk,RU,50.6789,156.125,40.44,96,91,12.26,overcast clouds
320,Marsh Harbour,BS,26.5412,-77.0636,80.51,75,100,17.02,overcast clouds
321,Kodiak,US,57.79,-152.4072,53.11,50,1,16.11,clear sky
322,Mount Gambier,AU,-37.8333,140.7667,55.31,76,75,13.8,broken clouds
323,Evensk,RU,61.95,159.2333,46.87,81,96,6.02,overcast clouds
324,Flinders,AU,-34.5833,150.8552,54.05,81,4,1.01,clear sky
325,Lebu,CL,-37.6167,-73.65,50.34,70,100,1.34,overcast clouds
326,Port Hardy,CA,50.6996,-127.4199,50.18,87,90,12.66,light rain
327,Masindi,UG,1.6744,31.715,65.7,93,100,5.86,light rain
328,Awbari,LY,26.5921,12.7805,99.05,8,38,13.6,scattered clouds
329,Iquique,CL,-20.2208,-70.1431,62.64,65,100,7.36,overcast clouds
330,Gamba,GA,-2.65,10.0,79.54,80,89,10.13,overcast clouds
331,Bosaso,SO,11.2842,49.1816,91.83,48,2,1.43,clear sky
332,North Branch,US,45.5113,-92.9802,86.07,56,2,18.7,clear sky
333,Clyde River,CA,70.4692,-68.5914,34.03,100,90,12.66,light rain
334,Iqaluit,CA,63.7506,-68.5145,33.53,93,75,5.01,broken clouds
335,Carndonagh,IE,55.25,-7.2667,60.42,71,87,4.88,overcast clouds
336,Whitianga,NZ,-36.8333,175.7,57.02,89,100,18.66,light rain
337,Kenai,US,60.5544,-151.2583,55.02,76,1,5.75,clear sky
338,Caravelas,BR,-17.7125,-39.2481,80.67,61,21,7.65,few clouds
339,Kidal,ML,18.4411,1.4078,109.35,9,12,12.55,few clouds
340,Necochea,AR,-38.5473,-58.7368,53.76,53,40,4.38,scattered clouds
341,Dalbandin,PK,28.8947,64.4101,99.21,9,0,8.19,clear sky
342,Rio Grande,BR,-32.035,-52.0986,59.11,63,100,10.78,overcast clouds
